Condition,Buyer_Unethicality_Mean,Buyer_Unethicality_SD,Answer_Unethicality_Mean,Answer_Unethicality_SD,BuyerTrust_mean,BuyerTrust_SD,FutureNegotiation_mean,FutureNegotiation_SD
Palter,4.49,1.42,4.3,1.62,2.54,1.61,3.44,1.68
Honest,3.58,1.82,3.24,,3.54,1.76,4.22,1.6
Lie,4.45,1.72,4.61,1.66,2.18,1.49,3.45,1.84
